temp_treat,little_r,little_d,little_b
20-20,0.2740364734556187,0.01317188918779399,0.2872083626434127
20-20,0.275037392326859,0.007633584317316932,0.2826709766441759
20-20,0.27327430032356825,0.008564152017583822,0.28183845234115207
20-20,0.2749524683566688,0.011492766507533964,0.28644523486420276
20-20,0.276909997178289,0.013683772333134479,0.2905937695114235
20-20,0.2733908099377828,0.008738719493522609,0.2821295294313054
20-20,0.27532188916843553,0.013271710559567449,0.28859359972800297
20-20,0.271429320539653,0.011477103863383905,0.2829064244030369
20-20,0.2717511937036502,0.00853592007892894,0.28028711378257914
20-20,0.27049804102259456,0.012717447543830081,0.28321548856642464
20-20,0.2732356065266492,0.013764330640384024,0.2869999371670332
20-20,0.2760044198196712,0.013389211551122632,0.2893936313707939
20-20,0.27556225185070615,0.013476639380733242,0.2890388912314394
20-20,0.2751889563113162,0.015973981426037263,0.29116293773735347
20-20,0.2754882303152815,0.010979938151678586,0.2864681684669601
20-20,0.2763139034462957,0.012176553720039457,0.28849045716633515
20-20,0.27226168278545465,0.01277150665863717,0.28503318944409184
20-20,0.27037598438564603,0.013098627582804844,0.28347461196845086
20-20,0.2730576849784678,0.011943584692738799,0.2850012696712066
20-20,0.28062717004690657,0.011417742794222276,0.2920449128411288
20-20,0.27351085444010487,0.010583177538223448,0.28409403197832833
20-20,0.2742386228751536,0.01446211339282005,0.28870073626797366
20-20,0.27069426695094295,0.008092184630517711,0.27878645158146065
20-20,0.27613654492191914,0.010580306370378875,0.286716851292298
20-20,0.2740534247239409,0.011187243737357102,0.285240668461298
20-20,0.2719786098340975,0.015047973356895958,0.28702658319099345
20-20,0.2704106543189636,0.009034261666921044,0.27944491598588467
20-20,0.2768777115233382,0.012758803119931047,0.2896365146432692
20-20,0.27786021388729715,0.013863866549501211,0.29172408043679837
20-20,0.2717510775459491,0.010699511128216743,0.2824505886741659
20-20,0.27224694757666595,0.013284983058809742,0.2855319306354757
20-20,0.2724289896737395,0.007647400699120158,0.2800763903728597
20-20,0.26958050751152024,0.013576726434421357,0.2831572339459416
20-20,0.27472113417762717,0.00775544212918489,0.28247657630681205
20-20,0.27183907469852275,0.009796078395594803,0.2816351530941176
20-20,0.2754429551209717,0.010105853811313964,0.2855488089322857
20-20,0.2710869800986225,0.010759330035108476,0.28184631013373096
20-20,0.2753712897211521,0.009504278536761283,0.2848755682579134
20-20,0.2716135389035327,0.010284039272581015,0.2818975781761137
20-20,0.2736639140141609,0.0112053600573099,0.2848692740714708
20-20,0.2739364763938951,0.01364537035364613,0.2875818467475413
20-20,0.2745992912109499,0.011412027425427755,0.28601131863637763
20-20,0.27416030912872225,0.0101223644261163,0.28428267355483855
20-20,0.27254611944149004,0.010583880498770806,0.28312999994026083
20-20,0.27336142031594807,0.00989991536933038,0.28326133568527845
20-20,0.27295449563566504,0.010098822336391575,0.28305331797205663
20-20,0.2744514636199825,0.012514070093859787,0.2869655337138423
20-20,0.2710810681862885,0.01419741169433001,0.28527847988061855
20-20,0.272579189064954,0.009482042715164698,0.28206123178011866
20-20,0.27626086534101435,0.014564747564566523,0.2908256129055809
20-20,0.270087728717995,0.013342706421058642,0.28343043513905364
20-20,0.2707155852934419,0.013593580797809599,0.2843091660912515
20-20,0.27290969391508274,0.013646707166609016,0.2865564010816918
20-20,0.2723299465256243,0.015320001643070413,0.2876499481686947
20-20,0.2743099384049468,0.01028294319661874,0.28459288160156554
20-20,0.27979570057978637,0.008747369149034139,0.2885430697288205
20-20,0.27666065843887216,0.012094432020034813,0.28875509045890696
20-20,0.2714036765219055,0.010108977044668468,0.28151265356657396
20-20,0.27238723053950264,0.009518346883991776,0.2819055774234944
20-20,0.2676977827151918,0.009052521209315262,0.27675030392450706
20-20,0.2727196759870415,0.01342752698062283,0.2861472029676643
20-20,0.2726494668489141,0.009836735841566704,0.2824862026904808
20-20,0.27302097302812267,0.012602913652387068,0.28562388668050975
20-20,0.27815280782355684,0.014305130494742326,0.29245793831829914
20-20,0.2705048536239495,0.010951710860394294,0.2814565644843438
20-20,0.2705673138128323,0.011132969048591986,0.2817002828614243
20-20,0.2705821188344655,0.011884729541867946,0.2824668483763334
20-20,0.2721923072787065,0.009768057626519212,0.28196036490522575
20-20,0.2733219698766798,0.015713963691540163,0.28903593356821994
20-20,0.27056718082903747,0.0076897006094815284,0.278256881438519
20-20,0.27139431565812266,0.01335299695297799,0.28474731261110064
20-20,0.2737892755442559,0.010658249950855785,0.2844475254951117
20-20,0.2735739297265805,0.011368092441915785,0.2849420221684963
20-20,0.27390885130600795,0.01604246977011371,0.28995132107612165
20-20,0.2739804467423252,0.00913752439038412,0.2831179711327093
20-20,0.27364055656773856,0.011959017305106458,0.285599573872845
20-20,0.27433450315888674,0.012683049045435626,0.28701755220432235
20-20,0.2723817499010265,0.009561200459364962,0.28194295036039146
20-20,0.27492987064399627,0.014724119100136535,0.2896539897441328
20-20,0.27598900678138,0.012424186033420643,0.28841319281480066
20-20,0.2743406296855937,0.01176955580128954,0.2861101854868832
20-20,0.2755726162857584,0.01318711499266959,0.288759731278428
20-20,0.27062587100835955,0.010945942285699149,0.2815718132940587
20-20,0.27398634373571534,0.006620488349828529,0.2806068320855439
20-20,0.2761458140025204,0.012581950229263693,0.2887277642317841
20-20,0.27491176115153065,0.009468837921976857,0.2843805990735075
20-20,0.27369670172150057,0.008552218887070027,0.2822489206085706
20-20,0.26937566051284717,0.00936218427726419,0.2787378447901114
20-20,0.27277431145636366,0.00895786699999667,0.28173217845636034
20-20,0.27271411262159817,0.014547259685283039,0.2872613723068812
20-20,0.27998499779668456,0.011973357621402614,0.2919583554180872
20-20,0.2761864020638819,0.010788148420951202,0.2869745504848331
20-20,0.27547880084073184,0.00877292852186672,0.28425172936259857
20-20,0.27420425360286216,0.010671164908386528,0.2848754185112487
20-20,0.2721876434821571,0.010775126817894404,0.2829627703000515
20-20,0.2726865213287701,0.010144064445534343,0.2828305857743044
20-20,0.26966397693499367,0.009973892541153382,0.27963786947614705
20-20,0.273038787818567,0.007356953605163983,0.28039574142373097
20-20,0.27561570807531416,0.009359943111085341,0.2849756511863995
20-20,0.27168013054088586,0.010960847320469506,0.28264097786135534
20-20,0.27572008631580575,0.014070505569351431,0.28979059188515716
20-20,0.26820952621705746,0.015451686336598013,0.28366121255365545
20-20,0.2735124556330878,0.010205180838384988,0.2837176364714728
20-20,0.2712833000756705,0.005966237401070824,0.2772495374767413
20-20,0.27119591833439466,0.009513862682295022,0.2807097810166897
20-20,0.27180079212365654,0.012648750959534133,0.2844495430831907
20-20,0.2742363518971199,0.009467360976878324,0.28370371287399826
20-20,0.2714386437102321,0.010047762410278637,0.28148640612051073
20-20,0.27803012978338915,0.010454984246651944,0.28848511403004107
20-20,0.2720200912093822,0.010447135234068546,0.28246722644345074
20-20,0.27224438112606814,0.010425322671644362,0.2826697037977125
20-20,0.2730950575350938,0.013468342439511678,0.28656339997460545
20-20,0.27506216035801856,0.01005705321347556,0.2851192135714941
20-20,0.27487489161252027,0.007830271569554428,0.28270516318207467
20-20,0.2722433003629824,0.010421994364477691,0.2826652947274601
20-20,0.27313963880227304,0.012894272464772746,0.2860339112670458
20-20,0.27766736738362974,0.012175739723871194,0.28984310710750094
20-20,0.27212471264429544,0.00999814735392407,0.2821228599982195
20-20,0.2743062271185675,0.01081028033260012,0.2851165074511676
20-20,0.27672162126232064,0.009734004437767995,0.28645562570008865
20-20,0.2769622668102552,0.012817503478298978,0.2897797702885542
20-20,0.27422262178267354,0.010833090960420184,0.2850557127430937
20-20,0.2763679461015263,0.008213473732851048,0.28458141983437735
20-20,0.2751576927243977,0.008302936671301766,0.2834606293956995
20-20,0.27287045770314916,0.014894523438359912,0.28776498114150906
20-20,0.2710880828480211,0.01307116384014577,0.2841592466881669
20-20,0.2731023715608076,0.01478129908512582,0.2878836706459334
20-20,0.27326003326649606,0.012767030681240549,0.2860270639477366
20-20,0.2765073510313588,0.011755318994661874,0.2882626700260207
20-20,0.2741116391141467,0.009688238830808596,0.2837998779449553
20-20,0.2710168204433382,0.009584723523736991,0.2806015439670752
20-20,0.2726254642663689,0.012946114193059525,0.28557157845942843
20-20,0.2728463152847695,0.014064420650733335,0.2869107359355028
20-20,0.27189268629241514,0.012214411415729088,0.28410709770814424
20-20,0.27644548065866864,0.012584020401842535,0.2890295010605112
20-20,0.27223652199214454,0.010324705607681978,0.2825612275998265
20-20,0.2721513488357069,0.011433704739863543,0.28358505357557046
20-20,0.27050616113498865,0.009654709522905652,0.2801608706578943
20-20,0.27061675491824894,0.009278078777328334,0.27989483369557727
20-20,0.2753898695184057,0.011995997437893268,0.287385866956299
20-20,0.27735180875318055,0.012011240671458085,0.28936304942463864
20-20,0.2738166354891827,0.0163841102284027,0.2902007457175854
20-20,0.2714903044643167,0.011984475614939212,0.2834747800792559
20-20,0.2730463587515497,0.009833996091238358,0.28288035484278806
20-20,0.2748477646567394,0.01080786730090311,0.2856556319576425
20-20,0.2734763019144449,0.011583846819824193,0.2850601487342691
